46
1-2,3-4,5-6,7-8,9-10,11-12,13-14,15-16,17-18,19-20,21-22,23-24,25-26,27-28,29-30,31-32,33-34,35-36,37-38,39-40,41-42,43-44,45-46
19-15,42-18,13-7,38-44,8-26,39-43,3-37,28-9,14-2,1-24,16-32,41-34,33-20,21-40,31-23,45-27,22-19,17-6,25-36,46-11,30-12,35-10,4-5
10-30,32-17,14-12,2-9,18-44,24-27,16-38,37-6,1-46,13-35,20-34,42-15,11-28,25-8,45-4,33-40,43-19,26-21,41-39,31-3,23-5,22-36,7-29
20-26,5-24,25-40,4-46,22-33,28-23,7-34,2-3,35-39,12-6,30-19,32-10,42-14,13-38,9-44,18-29,16-11,36-15,17-1,43-8,27-37,41-21,31-45
25-41,46-31,20-22,28-5,40-7,4-2,35-33,12-23,30-34,10-3,39-14,13-6,19-9,29-32,11-42,38-36,44-1,18-8,16-27,21-15,17-45,26-43,37-24
31-24,20-25,46-5,40-22,4-28,7-33,23-2,35-34,3-12,39-30,10-6,19-14,32-13,42-9,38-29,44-11,36-18,1-16,8-15,17-27,21-43,45-37,26-41
46-37,22-41,28-31,20-7,5-2,35-40,12-4,33-30,10-23,14-34,13-3,39-9,29-6,11-19,36-32,1-42,38-8,27-44,18-21,45-16,26-15,17-24,25-43
6-9,19-29,32-11,36-42,38-1,44-8,18-27,16-21,15-45,17-26,24-43,37-25,46-41,31-22,20-28,7-5,40-2,4-35,33-12,23-30,34-10,14-3,13-39
28-17,7-43,2-37,41-35,12-31,30-20,10-5,40-14,13-4,9-33,29-23,34-11,36-3,1-39,8-6,27-19,32-21,45-42,38-26,44-24,25-18,46-16,15-22
44-12,18-30,16-10,14-15,13-17,43-9,37-29,41-11,31-36,20-1,8-5,40-27,21-4,33-45,23-26,24-34,25-3,39-46,22-6,19-28,32-7,2-42,35-38
45-5,26-40,24-4,33-25,46-23,22-34,28-3,7-39,2-6,35-19,32-12,30-42,38-10,14-44,13-18,16-9,29-15,11-17,36-43,1-37,8-41,31-27,20-21
43-22,37-28,7-41,31-2,35-20,12-5,40-30,10-4,33-14,23-13,34-9,29-3,39-11,6-36,19-1,32-8,42-27,21-38,44-45,26-18,24-16,25-15,46-17
15-7,17-2,43-35,12-37,41-30,31-10,14-20,13-5,9-40,29-4,33-11,36-23,34-1,8-3,27-39,6-21,19-45,32-26,42-24,25-38,44-46,18-22,28-16
2-16,35-15,12-17,43-30,10-37,14-41,31-13,9-20,5-29,40-11,4-36,1-33,23-8,34-27,3-21,39-45,6-26,24-19,32-25,42-46,22-38,44-28,18-7
18-35,16-12,15-30,10-17,43-14,37-13,41-9,31-29,20-11,5-36,40-1,8-4,27-33,23-21,34-45,26-3,24-39,6-25,46-19,22-32,42-28,38-7,44-2
30-38,10-44,18-14,13-16,15-9,17-29,43-11,36-37,41-1,31-8,27-20,5-21,40-45,4-26,33-24,23-25,34-46,3-22,39-28,6-7,19-2,32-35,12-42
42-10,38-14,44-13,9-18,16-29,15-11,17-36,43-1,37-8,41-27,31-21,45-20,26-5,40-24,4-25,46-33,23-22,34-28,3-7,2-39,6-35,19-12,32-30
14-32,13-42,9-38,44-29,11-18,36-16,15-1,8-17,43-27,37-21,41-45,26-31,20-24,5-25,40-46,4-22,28-33,7-23,2-34,3-35,12-39,6-30,19-10
13-19,9-32,42-29,11-38,44-36,18-1,8-16,27-15,21-17,45-43,37-26,24-41,31-25,46-20,22-5,40-28,4-7,33-2,23-35,12-34,3-30,10-39,14-6
39-29,6-11,36-19,32-1,42-8,27-38,21-44,18-45,26-16,24-15,25-17,43-46,22-37,28-41,7-31,2-20,35-5,12-40,30-4,33-10,14-23,34-13,3-9
11-3,36-39,6-1,8-19,27-32,42-21,38-45,44-26,18-24,16-25,15-46,22-17,28-43,37-7,41-2,35-31,12-20,5-30,10-40,14-4,33-13,9-23,29-34
36-34,1-3,39-8,27-6,19-21,32-45,26-42,38-24,25-44,46-18,22-16,15-28,7-17,2-43,35-37,12-41,30-31,20-10,14-5,40-13,4-9,29-33,23-11
23-1,34-8,27-3,39-21,45-6,26-19,24-32,25-42,46-38,22-44,28-18,16-7,15-2,35-17,12-43,37-30,10-41,14-31,13-20,5-9,29-40,11-4,36-33
33-8,23-27,34-21,45-3,26-39,6-24,25-19,46-32,22-42,28-38,44-7,2-18,16-35,12-15,30-17,43-10,37-14,41-13,31-9,29-20,5-11,36-40,1-4
27-4,21-33,45-23,34-26,3-24,25-39,6-46,19-22,32-28,42-7,2-38,44-35,12-18,16-30,15-10,14-17,13-43,9-37,29-41,11-31,36-20,1-5,8-40
